city,hotel_id,amount_sum
Delhi,130,4807
Delhi,132,56144
Delhi,135,57433
Delhi,142,3899
Delhi,143,24176
Delhi,146,12696
Delhi,147,41847
Delhi,166,8057
Delhi,170,21700
Delhi,187,21897
Delhi,205,53051
Delhi,229,69139
Delhi,233,69976
Delhi,265,7863
Delhi,266,8253
Delhi,270,14424
Delhi,286,12993
Delhi,296,45678
Delhi,298,2404
Delhi,299,120924
Delhi,301,92594
Delhi,302,2794
Delhi,308,7211
Delhi,309,157504
Delhi,313,8187
Delhi,314,14006
Delhi,315,170340
Delhi,328,12542
Delhi,331,42231
Delhi,348,11692
Delhi,350,13645
Delhi,357,62187
Delhi,366,56043
Delhi,370,31876
Delhi,375,16432
Delhi,378,77308
Delhi,380,31830
Delhi,391,21115
Delhi,394,9098
Delhi,396,12801
Delhi,397,27294
Delhi,398,9616
Delhi,415,4159
Delhi,421,44520
Delhi,422,4614
Delhi,427,94939
Delhi,428,15076
Delhi,437,13126
Delhi,439,17935
Delhi,441,3119
Delhi,456,7991
Delhi,462,2924
Delhi,473,106548
Delhi,548,25075
Delhi,551,23783
Delhi,557,47432
Delhi,562,2989
Delhi,564,2534
Delhi,565,4354
Delhi,570,25342
Delhi,579,21958
Delhi,668,33917
Delhi,683,14297
Delhi,701,25470
Delhi,716,59781
Delhi,817,54972
Delhi,883,91665
Delhi,884,9618
Delhi,901,9618
Delhi,960,37632
Gurgaon,3,132389
Gurgaon,13,84517
Gurgaon,16,34177
Gurgaon,21,41581
Gurgaon,29,49891
Gurgaon,33,151725
Gurgaon,37,58599
Gurgaon,50,101616
Gurgaon,58,77651
Gurgaon,74,110766
Gurgaon,77,90254
Gurgaon,116,21307
Gurgaon,131,24558
Gurgaon,176,41219
Gurgaon,178,10396
Gurgaon,181,12568
Gurgaon,207,86847
Gurgaon,239,74157
Gurgaon,241,24816
Gurgaon,243,6497
Gurgaon,262,4678
Gurgaon,263,17475
Gurgaon,305,46514
Gurgaon,310,39121
Gurgaon,323,29885
Gurgaon,346,177968
Gurgaon,364,62173
Gurgaon,365,29880
Gurgaon,399,39178
